充装单位,登记证编号,设备品种,单位内编号,产品编号,二维码号,制造单位,制造日期,钢瓶检验日期,钢瓶下次检验日期,压力表表号,厂家,压力值最小,压力值最大,压力表检验日期,压力表下次检验日期,安全阀检测日期,安全阀下次检验日期,容积(L),状态,皮重
无极县新拓能源开发有限公司,瓶32冀A02039(99),焊接气瓶,415,C20112A003,02546006089,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,19095452,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(100),焊接气瓶,416,C20112A007,02546006013,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,191170570,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(101),焊接气瓶,417,C20112A009,02546006025,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539649,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(102),焊接气瓶,418,C20112A011,C20112A011,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,240319832,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(103),焊接气瓶,419,C20112A012,02546006022,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,240120530,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(104),焊接气瓶,420,C20112A019,02546006082,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,17082499,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(105),焊接气瓶,421,C20112A020,02546006081,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,200643413,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(106),焊接气瓶,422,C20112A022,02546001050,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,17083775,上海正宝,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(107),焊接气瓶,423,C20112A028,02546006099,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539537,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(108),焊接气瓶,424,C20112A029,02546006074,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539602,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(109),焊接气瓶,425,C20112A035,C20112A035,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539581,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(110),焊接气瓶,426,C20112A036,02546006097,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,201026304,无锡凯丰,0,2.5,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(111),焊接气瓶,427,C20112A038,02546006021,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,240319855,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(112),焊接气瓶,428,C20112A039,02546006086,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,240315788,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(113),焊接气瓶,429,C20112A041,C20112A041,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190831240,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(114),焊接气瓶,430,C20112A042,02546006020,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539742,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(115),焊接气瓶,431,C20112A050,02546006015,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539810,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(116),焊接气瓶,432,C20112A064,02546006098,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190715238,无锡凯丰,0,2.8,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
无极县新拓能源开发有限公司,瓶32冀A02039(117),焊接气瓶,433,C20112A069,02546006017,江西华特电子化学品有限公司,2020-12-02,2026-03-09,2029-03-08,190539653,无锡凯丰,0,4,2026-03-09,2029-03-08,2026-03-14,2027-03-13,175,在用,110
