group,name,mcgs_channel,pdu_address,data_type,access,description
Gateway,GatewayProtocolVersion,4WUB0001,0,UINT,read,固定为1
Gateway,GatewayBootId,4WUB0002,1,UINT,read,网关每次启动生成的非零值
Gateway,RequestBootId,4WUB0003,2,UINT,write,HMI提交时复制GatewayBootId
Gateway,RequestSeq,4WUB0004,3,UINT,write,最后单独写入的提交标志;0不提交
Gateway,BottleLength,4WUB0005,4,UINT,write,瓶号长度1至16
Gateway,BottleChar01,4WUB0006,5,UINT,write,第1个大写ASCII字符
Gateway,BottleChar02,4WUB0007,6,UINT,write,第2个大写ASCII字符
Gateway,BottleChar03,4WUB0008,7,UINT,write,第3个大写ASCII字符
Gateway,BottleChar04,4WUB0009,8,UINT,write,第4个大写ASCII字符
Gateway,BottleChar05,4WUB0010,9,UINT,write,第5个大写ASCII字符
Gateway,BottleChar06,4WUB0011,10,UINT,write,第6个大写ASCII字符
Gateway,BottleChar07,4WUB0012,11,UINT,write,第7个大写ASCII字符
Gateway,BottleChar08,4WUB0013,12,UINT,write,第8个大写ASCII字符
Gateway,BottleChar09,4WUB0014,13,UINT,write,第9个大写ASCII字符
Gateway,BottleChar10,4WUB0015,14,UINT,write,第10个大写ASCII字符
Gateway,BottleChar11,4WUB0016,15,UINT,write,第11个大写ASCII字符
Gateway,BottleChar12,4WUB0017,16,UINT,write,第12个大写ASCII字符
Gateway,BottleChar13,4WUB0018,17,UINT,write,第13个大写ASCII字符
Gateway,BottleChar14,4WUB0019,18,UINT,write,第14个大写ASCII字符
Gateway,BottleChar15,4WUB0020,19,UINT,write,第15个大写ASCII字符
Gateway,BottleChar16,4WUB0021,20,UINT,write,第16个大写ASCII字符
Gateway,ResponseBootId,4WUB0022,21,UINT,read,响应所属boot ID
Gateway,ResponseSeq,4WUB0023,22,UINT,read,最后更新的响应完成标志
Gateway,ResultStatus,4WUB0024,23,UINT,read,0空闲1处理中2允许3业务禁止4系统禁止
Gateway,AllowFillRaw,4WUB0025,24,UINT,read,0禁止1允许
Gateway,ReasonCode,4WUB0026,25,UINT,read,HMI中文原因状态值
Gateway,DetailMaskLow,4WUB0027,26,UINT,read,32位失败位图低16位
Gateway,DetailMaskHigh,4WUB0028,27,UINT,read,32位失败位图高16位
Gateway,GatewayState,4WUB0029,28,UINT,read,0停止1启动2就绪3忙4降级5故障
Gateway,FaultCode,4WUB0030,29,UINT,read,网关故障码
Gateway,GatewayHeartbeat,4WUB0031,30,UINT,read,每秒递增并允许16位回绕
Gateway,LatencyMs,4WUB0032,31,UINT,read,本次查询耗时最大65535
HMI,BottleInput,,n/a,STRING16,internal,操作员输入瓶号
HMI,PendingRequestSeq,,n/a,UINT,internal,等待提交的新序号
HMI,SubmitStage,,n/a,UINT,internal,0空闲1等待两个采集周期
HMI,SubmitTicks,,n/a,UINT,internal,提交等待计数
HMI,LastGatewayHeartbeat,,n/a,UINT,internal,上次网关心跳
HMI,HeartbeatStaleMs,,n/a,UINT,internal,网关心跳不变时长
HMI,HmiGatewayCommOk,,n/a,BOOL,internal,HMI到网关设备通讯状态
HMI,HmiPlcCommOk,,n/a,BOOL,internal,HMI到SMART200设备通讯状态
HMI,PermitNeedsRequery,,n/a,BOOL,internal,恢复后必须重新查询
HMI,FillPermitOk,,n/a,BOOL,internal,全部条件与运算后的最终HMI许可
PLC,HMI_FillPermitCmd,<现场分配Vx.y>,n/a,BOOL,write,HMI通过现有SMART200驱动写入
PLC,HMI_FillPermitHeartbeat,<现场分配VWn>,n/a,WORD,write,HMI镜像GatewayHeartbeat;建议偶地址
